"individuo","mu_max","t_pico","slope_up","slope_down","t_surv_obs","evento","area_beta","estab","taxa_final","prop_acima","n_aval","familia"
2,2,112,0.00476190476190476,0.00165707308564452,476,0,105.161,0.231932773109244,2,0,35,"1"
3,2,84,0.00765306122448979,0.000985221674876849,476,0,119.119,0.196638655462185,2,0,35,"1"
4,2,98,0.00595238095238095,0.000703729767769179,476,0,119.119,0.196638655462185,2,0,35,"1"
9,2,56,0.0142857142857143,0.00181451612903226,476,0,109.813666666667,0.221848739495798,2,0,35,"1"
10,2,98,0.00595238095238095,2.04765594394226e-18,476,0,128.424333333333,0.164705882352941,2,0,35,"1"
11,3,154,0.0104895104895105,-0.00397515527950311,154,1,165.757666666667,0.440336134453782,2,0.228571428571429,35,"1"
12,2,112,0.00476190476190476,0.0014826443397872,476,0,105.161,0.231932773109244,2,0,35,"1"
13,3,98,0.0170068027210884,-0.00244350613808742,98,1,205.396333333333,0.504201680672269,3,0.428571428571429,35,"1"
14,2,154,0.00274725274725274,0.00177018633540373,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
15,2,140,0.00324675324675324,0.00148351648351648,476,0,100.508333333333,0.240336134453782,2,0,35,"1"
17,3,210,0.00619747899159664,-0.000161117078410312,210,1,137.799666666667,0.420168067226891,2,0.142857142857143,35,"1"
18,2,70,0.0102040816326531,0.00201811536627999,476,0,105.161,0.231932773109244,2,0,35,"1"
22,3,98,0.0170068027210884,-0.00052779732582688,98,1,142.396333333333,0.163025210084034,2,0.0285714285714286,35,"2"
23,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"2"
24,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"2"
29,3,210,0.00315126050420168,-0.00193340494092374,210,1,100.536333333333,0.357983193277311,2,0.0571428571428571,35,"2"
32,2,84,0.00765306122448979,0.000211118930330755,476,0,128.424333333333,0.164705882352941,2,0,35,"2"
34,2,168,0.00235478806907378,0.00134105025409373,476,0,95.8556666666667,0.247058823529412,2,0,35,"2"
41,3,98,0.016156462585034,-0.000645085620455077,98,1,137.757666666667,0.243697478991597,2,0.0571428571428571,35,NA
43,3,210,0.00504201680672269,-0.00171858216970999,210,1,144.841666666667,0.66890756302521,3,0.285714285714286,35,"3"
44,3,210,0.00252100840336134,2.38266605430445e-18,210,1,210.091,0.633613445378151,3,0.514285714285714,35,NA
47,2,70,0.0102040816326531,0.00181153662799936,476,0,109.813666666667,0.221848739495798,2,0,35,NA
51,3,280,0.00510204081632653,-0.00204081632653061,280,1,105.203,0.408403361344538,2,0.0857142857142857,35,"3"
52,2,126,0.00389610389610389,0.00129426129426129,476,0,105.161,0.231932773109244,2,0,35,NA
53,3,140,0.011038961038961,0.00247252747252747,140,1,144.785666666667,0.433613445378151,3,0.171428571428571,35,"3"
54,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,NA
55,4,84,0.0229591836734694,-0.00292047853624208,84,1,196.063,0.59327731092437,3,0.371428571428571,35,"3"
62,2,126,0.00389610389610389,0.00124542124542124,476,0,105.161,0.231932773109244,2,0,35,"2"
69,3,364,0.00449154020582592,-0.00238095238095238,364,1,112.203,0.504201680672269,3,0.142857142857143,35,NA
70,2,112,0.00476190476190476,0.00113378684807256,476,0,109.813666666667,0.221848739495798,2,0,35,"2"
75,2,126,0.00389610389610389,0.00195360195360195,476,0,100.508333333333,0.240336134453782,2,0,35,NA
76,3,210,0.00409663865546219,0.000805585392051557,210,1,116.855666666667,0.490756302521008,3,0.142857142857143,35,"2"
80,3,462,0.00319764269344101,5.37307164816435e-17,462,1,102.855666666667,0.349579831932773,3,0.0571428571428571,35,NA
81,3,462,0.00339764683797303,5.37307164816435e-17,462,1,102.855666666667,0.346702317290553,3,0.0588235294117647,34,"1"
82,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1"
83,2,154,0.00274725274725274,0.00059006211180124,476,0,105.161,0.231932773109244,2,0,35,"1"
84,2,182,0.00204081632653061,0.000766314430910708,476,0,95.8556666666667,0.247058823529412,2,0,35,"1"
86,2,112,0.00476190476190476,0.0010465724751439,476,0,109.813666666667,0.221848739495798,2,0,35,"1"
88,3,98,0.016156462585034,0.00113378684807256,98,1,114.480333333333,0.26890756302521,2,0.0285714285714286,35,"1"
89,2,154,0.00274725274725274,0.00177018633540373,476,0,95.8556666666667,0.247058823529412,2,0,35,"1"
90,3,252,0.00513784461152882,-0.00140056022408964,252,1,119.133,0.25546218487395,2,0.0285714285714286,35,"1"
94,3,406,0.00352772922294613,-0.00204081632653063,406,1,130.813666666667,0.440336134453782,3,0.142857142857143,35,"1"
95,3,462,0.00260831605369421,5.37307164816435e-17,462,1,121.466333333333,0.299159663865546,3,0.0571428571428571,35,"1"
96,3,462,0.00300120048019208,5.37307164816435e-17,462,1,112.161,0.327731092436975,3,0.0571428571428571,35,"1"
97,3,462,0.00248826803448652,5.37307164816435e-17,462,1,126.119,0.282352941176471,3,0.0571428571428571,35,"1"
98,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1"
99,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1"
100,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1"
101,3,98,0.0170068027210884,0.000175932441942296,98,1,133.091,0.205042016806723,2,0.0285714285714286,35,"3"
103,3,210,0.00304621848739496,-0.00112781954887218,210,1,137.799666666667,0.420168067226891,2,0.142857142857143,35,"3"
105,3,210,0.00766806722689076,-0.00150375939849624,210,1,179.799666666667,0.692436974789916,2,0.4,35,NA
109,3,336,0.00478021978021978,-0.00779220779220779,336,1,128.536333333333,0.635294117647059,2,0.228571428571429,35,NA
110,3,168,0.00784929356357928,0.000635234330886505,168,1,177.466333333333,0.692436974789916,3,0.4,35,"3"
111,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
112,3,448,0.00355710466004583,-3.00423170965818e-17,448,1,107.522333333333,0.398319327731092,3,0.0857142857142857,35,NA
114,2,154,0.00274725274725274,0.00111801242236025,476,0,100.508333333333,0.240336134453782,2,0,35,NA
115,2,238,0.0012531328320802,-2.42760816397488e-18,476,0,81.8976666666667,0.257142857142857,2,0,35,"3"
118,3,210,0.00514705882352941,2.89435962462217e-18,210,1,196.161,0.89572192513369,3,0.558823529411765,34,"3"
121,3,210,0.00735294117647059,-0.0027389903329753,210,1,142.424333333333,0.280672268907563,2,0.0857142857142857,35,NA
122,3,126,0.00779220779220779,-0.00112332112332112,126,1,128.452333333333,0.282352941176471,2,0.0571428571428571,35,"1"
124,2,154,0.00274725274725274,0.00124223602484472,476,0,100.508333333333,0.240336134453782,2,0,35,"1"
128,2,56,0.0142857142857143,0.000576036866359449,476,0,133.077,0.146218487394958,2,0,35,"1"
130,2,168,0.00235478806907378,0.000635234330886503,476,0,100.508333333333,0.240336134453782,2,0,35,"1"
131,2,140,0.00324675324675324,0.00148351648351648,476,0,100.508333333333,0.240336134453782,2,0,35,"1"
132,3,210,0.00745798319327731,-0.0033297529538131,210,1,133.133,0.381512605042017,2,0.114285714285714,35,"1"
133,3,154,0.0117382617382617,0.000403726708074533,154,1,128.438333333333,0.223529411764706,2,0.0285714285714286,35,"1"
134,2,98,0.00595238095238095,0.000586441473140983,476,0,119.119,0.196638655462185,2,0,35,"1"
135,3,364,0.00422989708703995,-0.00238095238095238,364,1,126.161,0.458823529411765,3,0.142857142857143,35,"1"
136,3,98,0.0119047619047619,0.00156384392837595,98,1,154.119,0.499159663865546,3,0.228571428571429,35,"1"
138,3,462,0.00316013590540269,5.37307164816435e-17,462,1,112.161,0.34280303030303,3,0.0606060606060606,33,"1"
140,3,84,0.0153061224489796,0.00179291233840529,84,1,142.466333333333,0.470588235294118,3,0.176470588235294,34,"1"
141,2,98,0.00595238095238095,0.000957854406130271,476,0,114.466333333333,0.210084033613445,2,0,35,NA
143,3,98,0.016156462585034,-0.000351864883884586,98,1,168.091,0.467226890756303,3,0.257142857142857,35,NA
145,2,98,0.00595238095238095,0.00189616076315584,476,0,105.161,0.231932773109244,2,0,35,NA
148,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"3"
149,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"3"
150,3,364,0.00449154020582592,-0.00238095238095238,364,1,112.203,0.504201680672269,3,0.142857142857143,35,"3"
154,3,280,0.00510204081632653,-0.00357142857142857,280,1,144.855666666667,0.727731092436975,3,0.314285714285714,35,"3"
157,4,462,0.00323038306231584,7.1640955308858e-17,98,1,156.417333333333,0.588235294117647,4,0.171428571428571,35,"3"
161,3,84,0.0178571428571429,-0.00214637579169599,84,1,233.396333333333,0.549579831932773,3,0.6,35,"2"
162,3,462,0.00250389248997891,5.37307164816435e-17,462,1,126.119,0.270944741532977,3,0.0588235294117647,34,"2"
167,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"2"
168,3,336,0.00467032967032967,0.00194805194805194,336,1,144.799666666667,0.492436974789916,3,0.2,35,NA
172,2,168,0.00235478806907378,-9.9785252359867e-19,476,0,105.161,0.231932773109244,2,0,35,"2"
175,2,84,0.00765306122448979,0.00221674876847291,476,0,100.508333333333,0.240336134453782,2,0,35,"2"
177,3,210,0.0078781512605042,-3.07295176860555e-19,210,1,130.799666666667,0.381512605042017,3,0.114285714285714,35,"2"
178,3,210,0.00514705882352941,-3.07295176860555e-19,210,1,121.494333333333,0.416806722689076,3,0.114285714285714,35,"2"
181,2,210,0.00157563025210084,0.000805585392051556,476,0,86.5503333333333,0.25546218487395,2,0,35,"3"
182,4,266,0.00655209452201933,0.00273109243697479,266,1,119.154,0.710924369747899,4,0.0857142857142857,35,NA
183,4,462,0.00562042999017789,7.1640955308858e-17,210,1,151.848666666667,0.969747899159664,4,0.342857142857143,35,NA
185,3,210,0.00430672268907563,-0.000429645542427498,210,1,140.161,0.574789915966387,3,0.228571428571429,35,"3"
189,3,462,0.00302302739277529,5.37307164816435e-17,462,1,112.161,0.327731092436975,3,0.0571428571428571,35,"3"
192,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"3"
194,3,406,0.00371841728905132,-0.0183673469387756,406,1,105.203,0.408403361344538,2,0.0857142857142857,35,"3"
198,2,252,0.00112781954887218,1.10284837107061e-19,476,0,77.245,0.257142857142857,2,0,35,NA
201,3,98,0.0119047619047619,0.00111423879896786,98,1,130.785666666667,0.322689075630252,3,0.0857142857142857,35,"2"
202,2,252,0.00112781954887218,1.10284837107061e-19,476,0,77.245,0.257142857142857,2,0,35,NA
204,3,154,0.00849150849150849,-0.000807453416149071,154,1,154.133,0.557983193277311,3,0.257142857142857,35,"2"
209,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"2"
210,3,462,0.0034704791007312,5.37307164816435e-17,462,1,98.203,0.357983193277311,3,0.0571428571428571,35,"2"
212,2,210,0.00157563025210084,0.00161117078410311,476,0,86.5503333333333,0.315966386554622,2,0,35,"2"
215,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
221,2,154,0.00274725274725274,0.00111801242236025,476,0,100.508333333333,0.240336134453782,2,0,35,"1"
222,2,98,0.00595238095238095,0.00136836343732896,476,0,109.813666666667,0.221848739495798,2,0,35,"1"
223,3,252,0.00488721804511278,-0.00140056022408964,252,1,95.8696666666667,0.305882352941176,2,0.0285714285714286,35,"1"
224,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
225,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
226,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
227,2,196,0.00178571428571429,-1.65827362908394e-18,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
229,2,0,0,0.00228091236494598,476,0,102.834666666667,0.231932773109244,2,0,35,NA
230,2,98,0.00595238095238095,0.00215028540151693,476,0,100.508333333333,0.240336134453782,2,0,35,NA
231,2,84,0.00765306122448979,0.00221674876847291,476,0,100.508333333333,0.240336134453782,2,0,35,NA
232,2,98,0.00595238095238095,0.00132926733911956,476,0,109.813666666667,0.221848739495798,2,0,35,"1"
233,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1"
234,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA
235,2,42,0.0214285714285714,0.0021339547549225,476,0,105.161,0.231932773109244,2,0,35,"1"
236,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1"
237,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1"
238,2,98,0.00595238095238095,0.00226757369614513,476,0,91.203,0.252100840336134,2,0,35,NA
