"individuo","bloco","familia","cruzamento","P1","P2","data","estacao","ano","estacao_ano","n_frutos","formato_elipsoide","casca_amarela","polpa_amarela","comp_mm","diam_mm","ind_formato","massa_fruto_g","massa_polpa_g","rend_polpa_pct","esp_casca_mm","esp_casca_inv","sst_brix","aacpd_planta","aacpd_folha","parcela","aacpdm","linha","coluna"
"2","1","1","293 x 355","293","355",2018-07-07,"inverno","2018","inverno_2018",2,0,0,1,69,65,1.06112295664534,120.8,27.545,22.8477410828312,14.185,4.34166666666667,11.25,126.5,126.5,"F1B1",126.5,"1","10"
"2","1","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",6,0,0,1,63.3333333333333,56.7733333333333,1.11730101130458,67.4816666666667,22.87,33.6762577220953,6.565,11.9616666666667,18.4166666666667,756.5,741.5,"F1B1",749,"1","10"
"2","1","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",7,0,0,1,62.2257142857143,56.0671428571429,1.11006407978771,68.9514285714286,26.1342857142857,36.7172177019138,4.38714285714286,14.1395238095238,14.0714285714286,756.5,741.5,"F1B1",749,"1","10"
"3","1","1","293 x 355","293","355",2018-07-07,"inverno","2018","inverno_2018",2,1,1,1,71,60,1.18295739348371,85.77,21.3,25.2522343529361,9.92,8.60666666666667,17,141.5,126.5,"F1B1",134,"1","11"
"3","1","1","293 x 355","293","355",2018-12-17,"primavera","2018","primavera_2018",1,1,1,1,74.5,64.3,1.15863141524106,87.14,39.57,45.4096855634611,8.93,9.59666666666667,19.1,441.5,426.5,"F1B1",434,"1","11"
"3","1","1","293 x 355","293","355",2019-02-28,"verao","2019","verao_2019",2,1,1,1,67.7,46.35,1.4618208482704,40.6,12.17,29.9425970873787,10.425,8.10166666666667,16.05,591.5,576.5,"F1B1",584,"1","11"
"4","1","1","293 x 355","293","355",2018-07-07,"inverno","2018","inverno_2018",2,0,1,1,71.15,59.3,1.19826533313974,84.955,36.705,43.0507217920189,7.21,11.3166666666667,13.15,141.5,141.5,"F1B1",141.5,"1","12"
"4","1","1","293 x 355","293","355",2018-11-23,"primavera","2018","primavera_2018",1,0,1,1,69.2,58,1.19310344827586,82.63,33.18,40.1549074186131,8.91,9.61666666666667,17.2,381.5,381.5,"F1B1",381.5,"1","12"
"4","1","1","293 x 355","293","355",2018-11-30,"primavera","2018","primavera_2018",1,0,1,1,59.2,52.7,1.12333965844402,46.83,12.2,26.0516762758915,4.92,13.6066666666667,18.6,411.5,411.5,"F1B1",411.5,"1","12"
"4","1","1","293 x 355","293","355",2018-12-11,"primavera","2018","primavera_2018",10,0,1,1,64.08,53.01,1.32223275187125,68.34,23.2,32.7675083104027,7.657,10.8696666666667,16.24,441.5,441.5,"F1B1",441.5,"1","12"
"4","1","1","293 x 355","293","355",2018-12-17,"primavera","2018","primavera_2018",1,0,1,1,72.3,66.9,1.08071748878924,114.07,41.66,36.5214342070658,9.03,9.49666666666667,19,441.5,441.5,"F1B1",441.5,"1","12"
"9","1","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",4,1,0,0,70.03,53.01,1.32184532546317,64.23,23.27,34.4867360159276,6.8275,11.6991666666667,17.7,771.5,741.5,"F1B1",756.5,"1","17"
