"trait","estacao","h2_media","h2_025","h2_975"
"comp_mm","i18",0.401,0.13,0.726
"comp_mm","p18",0.24,0.087,0.484
"comp_mm","v19",0.322,0.111,0.644
"comp_mm","o19",0.478,0.183,0.796
"comp_mm","i19",0.371,0.147,0.679
"diam_mm","i18",0.447,0.134,0.794
"diam_mm","p18",0.262,0.091,0.545
"diam_mm","v19",0.362,0.114,0.733
"diam_mm","o19",0.535,0.174,0.871
"diam_mm","i19",0.384,0.137,0.716
"massa_fruto_g","i18",0.431,0.124,0.789
"massa_fruto_g","p18",0.276,0.085,0.588
"massa_fruto_g","v19",0.296,0.089,0.644
"massa_fruto_g","o19",0.461,0.198,0.75
"massa_fruto_g","i19",0.363,0.136,0.691
"rend_polpa_pct","i18",0.412,0.128,0.768
"rend_polpa_pct","p18",0.28,0.099,0.572
"rend_polpa_pct","v19",0.33,0.118,0.657
"rend_polpa_pct","o19",0.453,0.186,0.743
"rend_polpa_pct","i19",0.383,0.136,0.724
"esp_casca_mm","i18",0.336,0.091,0.746
"esp_casca_mm","p18",0.252,0.081,0.552
"esp_casca_mm","v19",0.406,0.127,0.807
"esp_casca_mm","o19",0.516,0.243,0.788
"esp_casca_mm","i19",0.419,0.161,0.746
"sst_brix","i18",0.328,0.098,0.686
"sst_brix","p18",0.412,0.173,0.691
"sst_brix","v19",0.422,0.167,0.743
"sst_brix","o19",0.398,0.164,0.704
"sst_brix","i19",0.36,0.138,0.677
"massa_polpa_g","i18",0.428,0.099,0.826
"massa_polpa_g","p18",0.306,0.095,0.639
"massa_polpa_g","v19",0.247,0.075,0.567
"massa_polpa_g","o19",0.453,0.197,0.73
"massa_polpa_g","i19",0.33,0.108,0.688
