"env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","PAR_TEMP"
"inverno_2018",-41.3433,-21.7136,152,2018-06-01,1,22.17,28.32,16.95,17.68,31.49,15.24,19.74,7.06,0.88,0.02,0.13,2.5,12.65,78.69,0.64,0.63,0,2.16,-2.37,0.868412285856296,10.899,23.88,9.009,70.27614727,69.7348,0.318448353631033
"inverno_2018",-41.3433,-21.7136,153,2018-06-02,2,22.95,29.77,17.83,18.16,30.62,16.45,24.88,7.55,0.92,0.02,0.1,2.38,13.02,77.57,0.64,0.62,0,1.94,-2.28,1.02984094565812,10.891,23.803,11.384,71.42128185,70.6876,0.328976034858388
"inverno_2018",-41.3433,-21.7136,154,2018-06-03,3,22.33,28.53,18.33,17.58,32.16,13.93,11.91,6.42,0.81,0.02,1.71,1.7,12.53,76.35,0.64,0.63,0,3.22,0.01,0.992539895631571,10.883,23.73,5.462,70.34771545,69.8588,0.287505597850425
"inverno_2018",-41.3433,-21.7136,155,2018-06-04,4,20.68,24.42,18.2,16.95,33.04,8.43,2.93,4.06,0.57,0.01,1.49,1.25,11.96,80.14,0.64,0.64,0,3.02,0.24,0.64341099621818,10.875,23.66,1.347,67.99800248,67.982,0.196324951644101
"inverno_2018",-41.3433,-21.7136,156,2018-06-05,5,20.15,24.57,16.33,15.53,33.36,8.7,6.93,4.17,0.57,0.01,0.61,1.53,10.93,75.93,0.64,0.63,0,1.25,-0.92,0.70781838332895,10.868,23.594,3.192,66.91040605,66.9408,0.206947890818859
"inverno_2018",-41.3433,-21.7136,157,2018-06-06,6,22.99,29.36,17.89,18.08,32.93,11.33,9.15,5.28,0.68,0.02,0.34,1.93,12.98,75.71,0.64,0.63,0,2.06,-1.59,0.995336870387635,10.861,23.532,4.223,71.32704171,70.6988,0.229665071770335
"inverno_2018",-41.3433,-21.7136,158,2018-06-07,7,23.78,29.6,19.88,19.88,32.75,13.11,11.5,6.03,0.75,0.02,0.52,1.89,14.48,80.95,0.63,0.62,0,1.29,-1.37,0.912826918043424,10.854,23.473,5.318,73.0433609,72.1368,0.253574432296047
"inverno_2018",-41.3433,-21.7136,159,2018-06-08,8,23.44,29.35,20.24,18.89,32.67,9.7,1.5,4.52,0.59,0.01,0.46,1.68,13.59,77.11,0.63,0.61,0,3.03,-1.22,1.04793726973774,10.848,23.418,0.695,72.15350816,71.4404,0.192832764505119
"inverno_2018",-41.3433,-21.7136,160,2018-06-09,9,21.04,24.45,18.92,17.25,33.36,7.45,3.82,3.55,0.49,0.01,0.14,0.88,12.17,79.74,0.63,0.62,0,2.17,-0.74,0.657295370699576,10.842,23.367,1.772,68.54910304,68.45,0.168726235741445
"inverno_2018",-41.3433,-21.7136,161,2018-06-10,10,22.19,27.44,18.14,18.41,32.26,11.92,5.53,5.53,0.73,0.02,0.02,1.34,13.14,80.64,0.63,0.61,0,2.57,-1.32,0.752495417125172,10.837,23.32,2.57,70.45745584,70.0176,0.249211356466877
