"env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","PAR_TEMP","n.1","N.1","RTA.1","VPD.1","SPV","ETP","PETP","GDD","FRUE","T2M_RANGE"
"inverno_2018",-41.3433,-21.7136,152,2018-06-01,1,22.17,28.32,16.95,17.68,31.49,15.24,19.74,7.06,0.88,0.02,0.13,2.5,12.65,78.69,0.64,0.63,0,2.16,-2.37,0.868412285856296,10.899,23.88,9.009,70.27614727,69.7348,0.318448353631033,6.86812115012217,10.7617998730164,23.8798685229734,0.868412285856296,0.166799515546081,6.86173479997372,-6.73173479997372,12.635,0.842333333333333,11.37
"inverno_2018",-41.3433,-21.7136,153,2018-06-02,2,22.95,29.77,17.83,18.16,30.62,16.45,24.88,7.55,0.92,0.02,0.1,2.38,13.02,77.57,0.64,0.62,0,1.94,-2.28,1.02984094565812,10.891,23.803,11.384,71.42128185,70.6876,0.328976034858388,7.43164087492701,10.7534692435079,23.8028952196163,1.02984094565812,0.177361886671959,7.46170948341694,-7.36170948341694,13.8,0.92,11.94
"inverno_2018",-41.3433,-21.7136,154,2018-06-03,3,22.33,28.53,18.33,17.58,32.16,13.93,11.91,6.42,0.81,0.02,1.71,1.7,12.53,76.35,0.64,0.63,0,3.22,0.01,0.992539895631571,10.883,23.73,5.462,70.34771545,69.8588,0.287505597850425,6.30796935752276,10.7455349223108,23.7295543120033,0.992539895631571,0.173947874675736,6.3040827111481,-4.5940827111481,13.43,0.895333333333333,10.2
"inverno_2018",-41.3433,-21.7136,155,2018-06-04,4,20.68,24.42,18.2,16.95,33.04,8.43,2.93,4.06,0.57,0.01,1.49,1.25,11.96,80.14,0.64,0.64,0,3.02,0.24,0.64341099621818,10.875,23.66,1.347,67.99800248,67.982,0.196324951644101,3.82594366261284,10.7380015828832,23.6598761838238,0.64341099621818,0.155436756834927,3.76142226013928,-2.27142226013928,11.31,0.754,6.22
"inverno_2018",-41.3433,-21.7136,156,2018-06-05,5,20.15,24.57,16.33,15.53,33.36,8.7,6.93,4.17,0.57,0.01,0.61,1.53,10.93,75.93,0.64,0.63,0,1.25,-0.92,0.70781838332895,10.868,23.594,3.192,66.91040605,66.9408,0.206947890818859,3.95689744369673,10.7308737024512,23.5938895409191,0.70781838332895,0.148417501427843,3.85780189851417,-3.24780189851417,10.45,0.696666666666667,8.24
"inverno_2018",-41.3433,-21.7136,157,2018-06-06,6,22.99,29.36,17.89,18.08,32.93,11.33,9.15,5.28,0.68,0.02,0.34,1.93,12.98,75.71,0.64,0.63,0,2.06,-1.59,0.995336870387635,10.861,23.532,4.223,71.32704171,70.6988,0.229665071770335,5.16346410215065,10.7241555533683,23.5316214107221,0.995336870387635,0.175740175023576,5.13370736766644,-4.79370736766644,13.625,0.908333333333333,11.47
"inverno_2018",-41.3433,-21.7136,158,2018-06-07,7,23.78,29.6,19.88,19.88,32.75,13.11,11.5,6.03,0.75,0.02,0.52,1.89,14.48,80.95,0.63,0.62,0,1.29,-1.37,0.912826918043424,10.854,23.473,5.318,73.0433609,72.1368,0.253574432296047,5.98604557003185,10.7178511947605,23.4730971422528,0.912826918043424,0.186290377251701,5.98040890769983,-5.46040890769983,14.74,0.982666666666667,9.72
"inverno_2018",-41.3433,-21.7136,159,2018-06-08,8,23.44,29.35,20.24,18.89,32.67,9.7,1.5,4.52,0.59,0.01,0.46,1.68,13.59,77.11,0.63,0.61,0,3.03,-1.22,1.04793726973774,10.848,23.418,0.695,72.15350816,71.4404,0.192832764505119,4.43695212818128,10.7119644644902,23.4183404066039,1.04793726973774,0.186824305650556,4.42628890505849,-3.96628890505849,14.795,0.986333333333333,9.11
"inverno_2018",-41.3433,-21.7136,160,2018-06-09,9,21.04,24.45,18.92,17.25,33.36,7.45,3.82,3.55,0.49,0.01,0.14,0.88,12.17,79.74,0.63,0.62,0,2.17,-0.74,0.657295370699576,10.842,23.367,1.772,68.54910304,68.45,0.168726235741445,3.4134524519335,10.7064989714701,23.3673731978517,0.657295370699576,0.158584172100277,3.33288626677898,-3.19288626677898,11.685,0.779,5.53
"inverno_2018",-41.3433,-21.7136,161,2018-06-10,10,22.19,27.44,18.14,18.41,32.26,11.92,5.53,5.53,0.73,0.02,0.02,1.34,13.14,80.64,0.63,0.61,0,2.57,-1.32,0.752495417125172,10.837,23.32,2.57,70.45745584,70.0176,0.249211356466877,5.46999141514911,10.7014580883574,23.320215834332,0.752495417125172,0.168173413061301,5.37237110948114,-5.35237110948114,12.79,0.852666666666667,9.3
"inverno_2018",-41.3433,-21.7136,162,2018-06-11,11,22.95,28.65,18.44,18.66,31.35,12.26,10.91,5.65,0.73,0.02,0,1.35,13.4,78.73,0.63,0.61,0,2.55,-1.35,0.872334977420848,10.832,23.277,5.077,71.51895965,70.8676,0.246187363834423,5.63405747708596,10.696844944659,23.2768869602213,0.872334977420848,0.175002997167953,5.55232330073709,-5.55232330073709,13.545,0.903,10.21
"inverno_2018",-41.3433,-21.7136,163,2018-06-12,12,24.35,31.2,19.03,19.12,30.62,15.91,23.1,7.27,0.89,0.02,0,1.7,13.82,75.03,0.62,0.6,0,2.63,-1.7,1.1588186141016,10.827,23.237,10.763,73.38131695,72.4332,0.298562628336756,7.32096676635134,10.692662420275,23.2374035473679,1.1588186141016,0.18995643969731,7.27350172877413,-7.27350172877413,15.115,1,12.17
