"individuo","data_coleta","aacpd_acum","aacpd_periodo","aacpd_jan75"
"2",2018-07-07,147,133,91
"2",2019-06-10,756,588,140
"2",2019-06-21,784,NA,140
"3",2018-07-07,154,140,98
"3",2018-12-17,434,252,112
"3",2019-02-28,574,112,112
"4",2018-07-07,161,147,105
"4",2018-11-23,413,231,140
"4",2018-11-30,413,NA,112
"4",2018-12-11,441,NA,140
"4",2018-12-17,441,NA,112
"9",2019-06-10,763,749,140
"9",2019-06-21,791,NA,140
"10",2018-07-07,161,147,105
"11",2019-06-10,966,952,140
"12",2019-06-21,791,777,140
"13",2018-07-07,231,217,168
"13",2018-08-03,315,42,206.5
"13",2018-11-30,633.5,276.5,164.5
"15",2019-06-10,728,714,140
"16",2018-11-23,NA,NA,NA
"16",2018-11-30,NA,NA,NA
"17",2019-06-10,840,826,161
"18",2018-01-22,NA,NA,NA
"18",2018-01-30,NA,NA,NA
"18",2018-08-03,189,189,98
"18",2019-02-28,532,329,112
"22",2019-06-10,875,861,140
"22",2019-06-21,903,NA,140
"23",2019-06-10,714,700,140
"24",2018-11-30,329,315,112
"24",2019-05-15,665,308,140
"24",2019-06-10,721,28,140
"24",2019-06-21,749,NA,140
"29",2019-05-14,672,658,140
"29",2019-06-10,731.5,31.5,143.5
"32",2019-06-10,826,812,140
"32",2019-06-21,854,NA,140
"34",2018-11-30,336,322,105
"34",2019-05-14,672,308,140
"34",2019-06-10,728,28,140
"34",2019-06-21,756,NA,140
"43",2019-06-10,847,833,147
"43",2019-06-21,889,NA,161
"51",2019-06-10,745.5,731.5,150.5
"53",2019-06-10,875,861,161
"55",2019-06-10,1004.5,990.5,143.5
"55",2019-06-21,1039.5,NA,150.5
"61",2018-11-30,NA,NA,NA
"61",2018-12-11,NA,NA,NA
"62",2019-06-10,756,742,140
"70",2018-11-30,392,378,112
"70",2018-12-10,420,NA,140
"70",2018-12-11,420,NA,140
"76",2018-11-30,374.5,360.5,136.5
"76",2019-01-22,490,84,147
"76",2019-05-14,714,196,140
"76",2019-06-10,791,42,161
"81",2018-10-23,259,245,91
"81",2018-11-30,343,56,112
"81",2018-12-17,371,NA,112
"82",2018-11-30,329,315,112
"82",2018-12-17,357,NA,112
"82",2019-06-10,721,336,140
"83",2019-06-10,770,756,140
"84",2019-06-10,728,714,140
"86",2018-11-30,385,371,112
"86",2018-12-11,413,NA,140
"87",2018-07-07,NA,NA,NA
"88",2018-08-03,224,210,133
"88",2018-11-30,406,168,112
"88",2018-12-11,434,NA,140
"88",2019-06-10,798,336,140
"89",2019-06-10,798,784,140
"90",2019-06-10,791,777,140
"90",2019-06-21,819,NA,140
"91",2018-11-23,NA,NA,NA
"91",2018-11-30,NA,NA,NA
"94",2019-06-21,840,826,178.5
"95",2018-07-07,168,154,112
"95",2018-08-03,203,14,115.5
"95",2018-11-30,385,168,105
"95",2018-12-11,413,NA,133
"96",2019-06-10,763,749,147
"96",2019-06-21,805,NA,161
"97",2019-01-30,525,511,112
"97",2019-02-28,581,28,112
"97",2019-06-10,812,203,147
"97",2019-06-21,854,NA,161
"98",2019-06-10,714,700,140
"98",2019-06-21,742,NA,140
"99",2019-06-21,742,728,140
"100",2018-12-11,350,336,133
"100",2019-01-30,434,56,112
"100",2019-06-21,742,280,140
"101",2019-01-30,553,539,112
"101",2019-06-10,833,252,140
"101",2019-06-21,861,NA,140
"103",2019-06-10,840,826,154
"110",2019-06-10,927.5,913.5,171.5
"110",2019-06-21,962.5,NA,175
"115",2019-06-10,707,693,140
"118",2019-06-10,973,959,210
"118",2019-06-21,1015,NA,210
"122",2019-01-22,553,539,140
"122",2019-06-10,833,252,140
"124",2019-06-10,749,735,140
"124",2019-06-21,777,NA,140
"128",2018-12-17,483,469,112
"128",2019-06-10,847,336,140
"128",2019-06-21,875,NA,140
"130",2018-11-30,350,336,105
"130",2019-06-10,742,364,140
"131",2018-11-30,364,350,112
"131",2019-01-31,476,84,112
"131",2019-05-14,700,196,140
"131",2019-06-10,756,28,140
"132",2019-01-22,574,560,154
"132",2019-05-14,798,196,140
"132",2019-06-10,854,28,140
"133",2019-06-21,861,847,140
"134",2019-06-10,805,791,140
"135",2019-06-10,812,798,154
"136",2018-11-30,455,441,133
"136",2019-01-30,567,84,112
"138",2019-02-28,539,525,112
"138",2019-06-10,770,203,147
"138",2019-06-21,812,NA,161
"140",2019-06-10,861,847,154
"140",2019-06-21,903,NA,168
"148",2019-06-10,721,707,140
"148",2019-06-21,749,NA,140
"149",2018-11-30,322,308,105
"149",2018-12-11,350,NA,133
"149",2018-12-17,350,NA,105
"149",2019-01-30,434,56,112
"149",2019-02-28,490,28,112
"149",2019-06-14,714,196,112
"150",2019-05-14,700,686,175
"150",2019-06-10,759.5,31.5,150.5
"152",2018-07-07,NA,NA,NA
"154",2018-12-11,385,371,147
"157",2019-06-21,934.5,920.5,171.5
"161",2019-06-10,1127,1113,154
"161",2019-06-21,1169,NA,168
"162",2018-11-30,413,399,112
"162",2018-12-11,441,NA,140
"162",2019-01-30,525,56,112
"162",2019-06-10,808.5,255.5,143.5
"162",2019-06-21,843.5,NA,150.5
"166",2019-06-10,NA,NA,NA
"167",2018-11-30,329,315,112
"167",2019-01-22,441,84,140
"167",2019-01-30,441,NA,112
"167",2019-06-10,721,252,140
"170",2018-12-11,NA,NA,NA
"172",2018-11-30,371,357,112
"172",2019-05-14,707,308,140
"172",2019-06-21,801.5,66.5,150.5
"175",2019-06-10,749,735,140
"175",2019-06-21,777,NA,140
"177",2019-06-21,854,840,161
"178",2019-06-10,780.5,766.5,143.5
"178",2019-06-21,815.5,NA,150.5
"181",2018-12-11,343,329,126
"185",2019-06-10,812,798,147
"189",2018-11-30,364,350,105
"189",2018-12-17,392,NA,105
"189",2019-05-14,700,280,140
"189",2019-06-21,805,77,161
"192",2018-12-11,350,336,133
"192",2019-05-14,658,280,140
"192",2019-06-10,714,28,140
"192",2019-06-21,742,NA,140
"194",2019-06-21,805,791,175
"201",2019-06-10,826,812,147
"201",2019-06-21,868,NA,161
"204",2019-06-21,955.5,941.5,150.5
"208",2018-08-03,NA,NA,NA
"209",2018-11-30,329,315,112
"210",2018-06-21,98,84,56
"210",2018-12-17,350,238,105
"212",2019-06-10,693,679,140
"221",2019-06-10,742,728,140
"221",2019-06-21,770,NA,140
"222",2019-06-10,770,756,140
"222",2019-06-21,798,NA,140
"223",2018-08-03,154,140,70
