"trait_env","n_obs","n_ind","blue_ok","dblup_ok","dablup_ok","sigma2_g","sigma2_a"
"comp_mm_inverno_2018",15,13,TRUE,TRUE,TRUE,21.482,26.171
"comp_mm_primavera_2018",50,32,TRUE,TRUE,TRUE,18.254,5.681
"comp_mm_verao_2019",24,18,TRUE,TRUE,TRUE,31.231,23.097
"comp_mm_outono_2019",70,62,TRUE,TRUE,TRUE,81.719,36.125
"comp_mm_inverno_2019",44,44,FALSE,FALSE,FALSE,NA,NA
"diam_mm_inverno_2018",15,13,TRUE,TRUE,TRUE,21.328,0
"diam_mm_primavera_2018",50,32,TRUE,TRUE,TRUE,32.817,61.186
"diam_mm_verao_2019",24,18,TRUE,TRUE,TRUE,38.616,41.388
"diam_mm_outono_2019",70,62,TRUE,TRUE,TRUE,59.761,15.485
"diam_mm_inverno_2019",44,44,FALSE,FALSE,FALSE,NA,NA
"massa_fruto_g_inverno_2018",15,13,TRUE,TRUE,TRUE,543.803,0.005
"massa_fruto_g_primavera_2018",50,32,TRUE,TRUE,TRUE,759.579,1227.443
"massa_fruto_g_verao_2019",24,18,TRUE,TRUE,TRUE,609.384,359.117
"massa_fruto_g_outono_2019",70,62,TRUE,TRUE,TRUE,468.507,308.051
"massa_fruto_g_inverno_2019",44,44,FALSE,FALSE,FALSE,NA,NA
"sst_brix_inverno_2018",15,13,TRUE,TRUE,TRUE,0,1.67
"sst_brix_primavera_2018",50,32,TRUE,TRUE,TRUE,1.855,0
"sst_brix_verao_2019",24,18,TRUE,TRUE,TRUE,3.427,4.844
"sst_brix_outono_2019",70,62,TRUE,TRUE,TRUE,3.108,0
"sst_brix_inverno_2019",44,44,FALSE,FALSE,FALSE,NA,NA
